selected_generators,num_search_qubits,dimension,seed,train_sample_count,measurement_policy,shots,shots_per_circuit,max_candidates_per_shotbatch,refit_policy,learner,oracle_mode,diagnostic_only,training_contains_hidden_optimum,initial_matches_hidden_optimum,found_hidden_exact_optimum,success_within_1_percent,success_within_3_percent,success_within_5_percent,absolute_gap_to_hidden_best,relative_gap_to_hidden_best,random_exact_success_probability,random_success_within_1_percent_probability,random_success_within_3_percent_probability,random_success_within_5_percent_probability,algorithmic_ed_lp_calls,search_verification_calls,hidden_reference_ed_lp_calls,circuit_executions,total_shots,verified_candidates,max_qubits,max_transpiled_depth,status,error
"[0, 5]",4,16,1,4,shot_batch,2000,2000,3,accepted,mismatch,learned,False,False,False,True,True,True,True,0.0,0.0,0.3125,0.3125,0.3125,0.3125,9,5,16,2,4000,6,14,2,ok,
"[0, 5]",4,16,1,4,shot_batch,2000,2000,3,accepted,pairwise_ranking,learned,False,False,False,True,True,True,True,0.0,0.0,0.3125,0.3125,0.3125,0.3125,9,5,16,2,4000,6,22,2,ok,
"[0, 5]",4,16,1,4,shot_batch,2000,2000,5,none,mismatch,learned,False,False,False,True,True,True,True,0.0,0.0,0.375,0.375,0.375,0.375,10,6,16,2,4000,10,14,2,ok,
"[0, 5]",4,16,1,4,shot_batch,2000,2000,5,none,pairwise_ranking,learned,False,False,False,True,True,True,True,0.0,0.0,0.375,0.375,0.375,0.375,10,6,16,2,4000,10,18,2,ok,
"[0, 5]",4,16,1,4,shot_batch,2000,2000,5,accepted,mismatch,learned,False,False,False,True,True,True,True,0.0,0.0,0.375,0.375,0.375,0.375,10,6,16,2,4000,10,14,2,ok,
"[0, 5]",4,16,1,4,shot_batch,2000,2000,5,accepted,pairwise_ranking,learned,False,False,False,True,True,True,True,0.0,0.0,0.375,0.375,0.375,0.375,10,6,16,2,4000,10,22,2,ok,
"[0, 5]",4,16,1,4,classical_hidden_perfect_diagnostic,0,0,0,none,hidden_reference,hidden_perfect_diagnostic,True,False,False,True,True,True,True,0.0,0.0,,,,,6,2,16,0,0,2,0,0,ok,
"[0, 5]",4,16,0,8,single_shot,1,1,1,none,mismatch,learned,False,False,False,False,False,False,False,3378.4008083264707,0.13745509071888112,0.125,0.125,0.125,0.125,10,2,16,3,3,3,14,30,ok,
"[0, 5]",4,16,0,8,single_shot,1,1,1,none,pairwise_ranking,learned,False,False,False,False,False,False,False,3378.4008083264707,0.13745509071888112,0.125,0.125,0.125,0.125,10,2,16,3,3,3,22,174,ok,
"[0, 5]",4,16,0,8,single_shot,1,1,1,accepted,mismatch,learned,False,False,False,False,False,False,False,3378.4008083264707,0.13745509071888112,0.125,0.125,0.125,0.125,10,2,16,3,3,3,14,30,ok,
"[0, 5]",4,16,0,8,single_shot,1,1,1,accepted,pairwise_ranking,learned,False,False,False,False,False,False,False,3378.4008083264707,0.13745509071888112,0.125,0.125,0.125,0.125,10,2,16,3,3,3,22,174,ok,
"[0, 5]",4,16,0,8,shot_batch,2000,2000,1,none,mismatch,learned,False,False,False,True,True,True,True,0.0,0.0,0.1875,0.1875,0.1875,0.1875,11,3,16,3,6000,3,14,30,ok,
