selected_generators,num_search_qubits,dimension,seed,train_sample_count,measurement_policy,shots,shots_per_circuit,max_candidates_per_shotbatch,refit_policy,learner,oracle_mode,diagnostic_only,training_contains_hidden_optimum,initial_matches_hidden_optimum,found_hidden_exact_optimum,success_within_1_percent,success_within_3_percent,success_within_5_percent,absolute_gap_to_hidden_best,relative_gap_to_hidden_best,random_exact_success_probability,random_success_within_1_percent_probability,random_success_within_3_percent_probability,random_success_within_5_percent_probability,algorithmic_ed_lp_calls,search_verification_calls,hidden_reference_ed_lp_calls,circuit_executions,total_shots,verified_candidates,max_qubits,max_transpiled_depth,status,error
"[0, 5]",4,16,1,8,classical_hidden_perfect_diagnostic,0,0,0,none,hidden_reference,hidden_perfect_diagnostic,True,False,False,True,True,True,True,0.0,0.0,,,,,10,2,16,0,0,2,0,0,ok,
"[0, 1, 2]",6,64,0,8,single_shot,1,1,1,none,mismatch,learned,False,False,False,False,False,False,False,4000.0000000000036,0.12785361725556504,0.0625,0.0625,0.0625,0.0625,12,4,64,3,3,3,16,52,ok,
"[0, 1, 2]",6,64,0,8,single_shot,1,1,1,none,pairwise_ranking,learned,False,False,False,False,False,False,False,4000.0000000000036,0.12785361725556504,0.0625,0.0625,0.0625,0.0625,12,4,64,3,3,3,27,488,ok,
"[0, 1, 2]",6,64,0,8,single_shot,1,1,1,accepted,mismatch,learned,False,False,False,False,False,False,False,4000.0000000000036,0.12785361725556504,0.0625,0.0625,0.0625,0.0625,12,4,64,3,3,3,16,52,ok,
"[0, 1, 2]",6,64,0,8,single_shot,1,1,1,accepted,pairwise_ranking,learned,False,False,False,False,False,False,False,4000.0000000000036,0.12785361725556504,0.0625,0.0625,0.0625,0.0625,12,4,64,3,3,3,27,484,ok,
"[0, 1, 2]",6,64,0,8,shot_batch,2000,2000,1,none,mismatch,learned,False,False,False,False,False,False,False,7308.047808000007,0.23359008683235077,0.0625,0.0625,0.0625,0.0625,12,4,64,3,6000,3,16,52,ok,
"[0, 1, 2]",6,64,0,8,shot_batch,2000,2000,1,none,pairwise_ranking,learned,False,False,False,False,False,False,False,7308.047808000007,0.23359008683235077,0.0625,0.0625,0.0625,0.0625,12,4,64,3,6000,3,27,488,ok,
"[0, 1, 2]",6,64,0,8,shot_batch,2000,2000,1,accepted,mismatch,learned,False,False,False,False,False,False,False,7308.047808000007,0.23359008683235077,0.0625,0.0625,0.0625,0.0625,12,4,64,3,6000,3,16,52,ok,
"[0, 1, 2]",6,64,0,8,shot_batch,2000,2000,1,accepted,pairwise_ranking,learned,False,False,False,False,False,False,False,7308.047808000007,0.23359008683235077,0.0625,0.0625,0.0625,0.0625,12,4,64,3,6000,3,27,486,ok,
"[0, 1, 2]",6,64,0,8,shot_batch,2000,2000,3,none,mismatch,learned,False,False,False,False,False,False,False,5937.774408000001,0.18979148412758018,0.140625,0.140625,0.140625,0.140625,17,9,64,3,6000,9,16,52,ok,
"[0, 1, 2]",6,64,0,8,shot_batch,2000,2000,3,none,pairwise_ranking,learned,False,False,False,False,False,False,False,5937.774408000001,0.18979148412758018,0.140625,0.140625,0.140625,0.140625,17,9,64,3,6000,9,27,488,ok,
"[0, 1, 2]",6,64,0,8,shot_batch,2000,2000,3,accepted,mismatch,learned,False,False,False,False,False,False,False,5937.774408000001,0.18979148412758018,0.140625,0.140625,0.140625,0.140625,17,9,64,3,6000,9,16,52,ok,
"[0, 1, 2]",6,64,0,8,shot_batch,2000,2000,3,accepted,pairwise_ranking,learned,False,,,,,,,,,,,,,,,,,,,,,error,'Number of qubits (30) in small_sample_gate_level_tau_0 is greater than maximum (29) in the coupling_map'
"[0, 1, 2]",6,64,0,8,shot_batch,2000,2000,5,none,mismatch,learned,False,False,False,True,True,True,True,0.0,0.0,0.21875,0.21875,0.21875,0.21875,22,14,64,3,6000,15,16,52,ok,
"[0, 1, 2]",6,64,0,8,shot_batch,2000,2000,5,none,pairwise_ranking,learned,False,False,False,False,False,False,False,2000.0000000000036,0.06392680862778258,0.21875,0.21875,0.21875,0.21875,22,14,64,3,6000,15,27,488,ok,
"[0, 1, 2]",6,64,0,8,shot_batch,2000,2000,5,accepted,mismatch,learned,False,False,False,True,True,True,True,0.0,0.0,0.21875,0.21875,0.21875,0.21875,22,14,64,3,6000,15,16,52,ok,
"[0, 1, 2]",6,64,0,8,shot_batch,2000,2000,5,accepted,pairwise_ranking,learned,False,,,,,,,,,,,,,,,,,,,,,error,'Number of qubits (30) in small_sample_gate_level_tau_0 is greater than maximum (29) in the coupling_map'
"[0, 1, 2]",6,64,0,8,classical_hidden_perfect_diagnostic,0,0,0,none,hidden_reference,hidden_perfect_diagnostic,True,False,False,True,True,True,True,0.0,0.0,,,,,10,2,64,0,0,2,0,0,ok,
"[0, 1, 2]",6,64,1,8,single_shot,1,1,1,none,mismatch,learned,False,False,False,False,False,False,False,9308.047808000007,0.2975168954601332,0.0625,0.0625,0.0625,0.0625,12,4,64,3,3,3,24,244,ok,
"[0, 1, 2]",6,64,1,8,single_shot,1,1,1,none,pairwise_ranking,learned,False,False,False,False,False,False,False,9308.047808000007,0.2975168954601332,0.0625,0.0625,0.0625,0.0625,12,4,64,3,3,3,27,486,ok,
"[0, 1, 2]",6,64,1,8,single_shot,1,1,1,accepted,mismatch,learned,False,False,False,False,False,False,False,1937.7744080000011,0.06193786687201527,0.0625,0.0625,0.0625,0.0625,12,4,64,3,3,3,24,244,ok,
"[0, 1, 2]",6,64,1,8,single_shot,1,1,1,accepted,pairwise_ranking,learned,False,,,,,,,,,,,,,,,,,,,,,error,'Number of qubits (30) in small_sample_gate_level_tau_9 is greater than maximum (29) in the coupling_map'
"[0, 1, 2]",6,64,1,8,shot_batch,2000,2000,1,none,mismatch,learned,False,False,False,False,False,False,False,8687.893962588238,0.2776946673624225,0.0625,0.0625,0.0625,0.0625,12,4,64,3,6000,3,24,244,ok,
